invoice_code,invoice_number,invoice_date,customer_name,customer_email,customer_address,customer_city,customer_state,customer_postal_code,customer_country,payment_method,payment_due_date,subtotal,tax_rate,tax_amount,discount_rate,discount_amount,total,notes,status,created_by,created_at,updated_by,updated_at,due_date,paid_date,currency,exchange_rate,payment_reference,shipping_address,shipping_city,shipping_state,shipping_postal_code,shipping_country
Cx*,2582,11/12/2022,Maiga Carn,eguisot70@wix.com,3083 Heffernan Terrace,Kedatuan,,,Indonesia,debit card,2/21/2022,8534.64,0.09,768.1176,0.17,1450.8888,7851.8688,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",overdue,Curran Verty,1/6/2022,Eugene Guisot,4/26/2022,10/11/2022,12/18/2022,IDR,8.1632,transaction ID,60444 Holmberg Park,Arras,B4,62070 CEDEX 9,France
j3*,6701,7/29/2022,Merla Abrahart,pbernollet71@accuweather.com,4949 Red Cloud Circle,Jedlina-Zdrój,,58-330,Poland,PayPal,8/19/2022,3729.66,0.03,111.8898,0.01,37.2966,3804.2532,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",draft,Kelwin Margett,9/10/2022,Patricia Bernollet,5/31/2022,9/24/2022,8/30/2022,PLN,8.1233,payment ID,5 Northfield Parkway,Mont-Joli,QC,G5H,Canada
l8*,2379,11/14/2022,Kristin Bernollet,lstovine72@springer.com,8880 Lawn Hill,Sindanghayu,,,Indonesia,debit card,11/19/2022,8330.33,0.08,666.4264,0.32,2665.7056,6331.0508,"Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",sent,Sheilakathryn Bunting,11/6/2022,Lance Stovine,6/14/2022,5/18/2022,9/5/2022,IDR,1.7339,transaction ID,9 Stone Corner Parkway,Karata,,368997,Russia
F1*,7188,12/10/2022,Cairistiona Flowerdew,washtonhurst73@newsvine.com,3 Haas Trail,Hampton,VA,23663,United States,credit card,3/17/2022,5309.14,0.07,371.6398,0.19,1008.7366,4672.0432,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",overdue,Kippie Newrick,6/10/2022,Wallas Ashtonhurst,3/28/2022,4/10/2022,5/20/2022,USD,2.7512,payment ID,0882 Schmedeman Park,Tanabe,,610-0331,Japan
L3*,5736,11/9/2022,Wallie Winsom,tkeady74@about.com,9 Melrose Circle,Vista Alegre,01,3830-295,Portugal,credit card,12/1/2022,7467.97,0.17,1269.5549,0.46,3435.2662,5302.2587,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",overdue,Lane Garnsey,3/12/2022,Temp Keady,5/8/2022,4/24/2022,4/10/2022,EUR,3.8631,transaction ID,45365 Northfield Street,Quba,,,Azerbaijan
bL*,6166,6/22/2022,Karl Stanmer,rbabst75@who.int,22 Oneill Hill,Nanjie,,,China,credit card,8/23/2022,5701.63,0.15,855.2445,0.36,2052.5868,4504.2877,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.",draft,Kerianne Trinkwon,3/24/2022,Rowland Babst,1/18/2022,1/1/2022,10/12/2022,CNY,3.3917,reference number,5684 Fairfield Avenue,Nagqu,,,China
a_*,7284,2/5/2022,Florance Fairbourne,croussel76@nps.gov,150 1st Avenue,Tervel,,9499,Bulgaria,debit card,6/27/2022,3073.29,0.06,184.3974,0.49,1505.9121,1751.7753,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",draft,Nichol Siberry,1/16/2022,Charmaine Roussel,8/31/2022,4/13/2022,4/26/2022,BGN,0.3881,payment ID,997 Forster Plaza,Salt Lake City,UT,84120,United States
Hk*,7040,9/22/2022,Annaliese Waterstone,gartingstall77@cnet.com,14 Autumn Leaf Alley,Citangtu Kaler,,,Indonesia,PayPal,1/6/2022,7842.02,0.01,78.4202,0.31,2431.0262,5489.414,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",overdue,Demetre Steagall,8/12/2022,Geoffry Artingstall,7/19/2022,11/23/2022,11/20/2022,IDR,7.963,reference number,7 Sunbrook Way,Waepau,,,Indonesia
P_*,4258,11/30/2022,Marian Varty,jkeel78@cmu.edu,68 Hintze Hill,Maroanging,,,Indonesia,credit card,6/10/2022,4614.47,0.01,46.1447,0.14,646.0258,4014.5889,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.",overdue,Mariam Wrack,10/27/2022,Julissa Keel,8/17/2022,12/25/2022,6/30/2022,IDR,1.9425,reference number,40941 Sloan Pass,Quinta,16,4980-559,Portugal
dr*,5777,2/20/2022,Emmery Cowtherd,bkennally79@gnu.org,689 Utah Pass,Haczów,,36-213,Poland,PayPal,9/22/2022,8761.08,0.19,1664.6052,0.11,963.7188,9461.9664,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",draft,Layla Quinton,8/16/2022,Bing Kennally,9/3/2022,2/15/2022,1/6/2022,PLN,9.2452,reference number,8463 Jackson Alley,Cayur,,,Indonesia
QB*,4545,9/23/2022,Chery Wild,vdurnin7a@illinois.edu,20234 Hanover Terrace,Buni Yadi,,,Nigeria,debit card,5/4/2022,2512.37,0.19,477.3503,0.01,25.1237,2964.5966,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",overdue,Barny Drillingcourt,4/7/2022,Victoria Durnin,3/1/2022,10/2/2022,8/10/2022,NGN,6.8612,payment ID,1 Hayes Court,Waiklibang,,,Indonesia
sh*,8568,3/19/2022,Jabez Pilmer,ghazlehurst7b@usgs.gov,2 Moulton Plaza,Coaldale,AB,T1M,Canada,PayPal,12/11/2022,8439.47,0.17,1434.7099,0.18,1519.1046,8355.0753,Fusce consequat. Nulla nisl. Nunc nisl.,paid,Leda Meyer,10/5/2022,Genevra Hazlehurst,4/27/2022,10/28/2022,3/7/2022,CAD,2.8249,reference number,1379 Farragut Road,Guamal,,473029,Colombia
jl*,8903,1/16/2022,Marius Dillingham,wdulwitch7c@360.cn,9 Macpherson Trail,Sīlat al Ḩārithīyah,,,Palestinian Territory,credit card,3/16/2022,3979.59,0.01,39.7959,0.42,1671.4278,2347.9581,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",overdue,Lara Martello,1/5/2022,Waring Dulwitch,5/5/2022,10/11/2022,1/8/2022,ILS,6.4776,reference number,0 Chinook Park,Nong Bua,,60110,Thailand
w6*,8557,9/19/2022,Kaitlynn Bresner,dpinkstone7d@upenn.edu,6528 Scofield Avenue,Xai-Xai,,,Mozambique,PayPal,8/4/2022,5072.06,0.1,507.206,0.07,355.0442,5224.2218,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",overdue,Dalila Godfrey,9/14/2022,Dina Pinkstone,5/5/2022,2/6/2022,7/19/2022,MZN,2.1511,reference number,80 Evergreen Parkway,Yoshida-kasugachō,,959-1287,Japan
cE*,9151,5/6/2022,Xever Rodenborch,pharby7e@ca.gov,1534 Ramsey Trail,Saraburi,,18190,Thailand,credit card,9/21/2022,7593.23,0.19,1442.7137,0.3,2277.969,6757.9747,"Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",draft,Fiona Von Brook,12/23/2022,Pacorro Harby,5/26/2022,9/18/2022,2/17/2022,THB,8.8262,transaction ID,919 Sheridan Junction,Putrajaya,PJY,62514,Malaysia
CX*,8275,1/11/2022,Sigrid Pledger,hsandey7f@domainmarket.com,6 Miller Lane,Santa Catalina,,2701,Philippines,credit card,7/16/2022,8573.55,0.12,1028.826,0.14,1200.297,8402.079,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.",paid,Guillema Benton,3/25/2022,Horatia Sandey,5/26/2022,6/23/2022,10/21/2022,PHP,8.0879,transaction ID,75 Village Junction,Lagdo,,,Cameroon
p_*,1280,8/29/2022,Delly Dradey,fjagger7g@economist.com,5379 Reindahl Plaza,Lyubech,,,Ukraine,credit card,7/25/2022,7900.77,0.11,869.0847,0.26,2054.2002,6715.6545,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",paid,Hyacintha Alywin,2/15/2022,Fey Jagger,8/15/2022,11/25/2022,2/25/2022,UAH,2.6088,payment ID,692 Manufacturers Court,San Carlos,,232517,Colombia
Y3*,5513,7/9/2022,Elisabetta Tremmil,tiacovone7h@fema.gov,97934 Kedzie Hill,Žďár nad Sázavou,,592 11,Czech Republic,credit card,8/31/2022,2201.99,0.05,110.0995,0.37,814.7363,1497.3532,Fusce consequat. Nulla nisl. Nunc nisl.,sent,Etta Fantin,12/30/2022,Tarah Iacovone,1/29/2022,11/18/2022,6/16/2022,CZK,0.8193,reference number,3 Westridge Place,Malie,,,Samoa
V7*,4111,3/16/2022,Cece Huddles,smatashkin7i@edublogs.org,3861 Onsgard Junction,Ligang,,,China,debit card,5/2/2022,7681.5,0.04,307.26,0.02,153.63,7835.13,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.",sent,Lannie Clatworthy,7/12/2022,Shermy Matashkin,3/20/2022,3/13/2022,3/23/2022,CNY,6.1764,payment ID,385 Laurel Avenue,Orichi,,613603,Russia
LM*,8711,8/26/2022,Riannon Passmore,gmannin7j@purevolume.com,66 Barby Center,Świnice Warckie,,99-140,Poland,PayPal,2/16/2022,1810.45,0.01,18.1045,0.07,126.7315,1701.823,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",overdue,Berke Lodemann,10/13/2022,Gustave Mannin,5/9/2022,12/22/2022,5/24/2022,PLN,9.6177,transaction ID,2 Armistice Junction,Chlumec,,403 39,Czech Republic
rZ*,3546,3/19/2022,Kylie Libbie,sgillis7k@ed.gov,246 Melrose Crossing,Mabugang,,,China,credit card,8/26/2022,9195.38,0.11,1011.4918,0.36,3310.3368,6896.535,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.",paid,Quinta Cornewall,6/24/2022,Sol Gillis,1/1/2022,3/27/2022,7/22/2022,CNY,9.6551,transaction ID,485 Hintze Place,Quebrada Canoa,,,Panama
qJ*,1604,4/14/2022,Benedikta Trayhorn,msvanetti7l@theglobeandmail.com,47 Sunbrook Street,Shchelkovo,,306455,Russia,credit card,8/30/2022,5444.61,0.02,108.8922,0.48,2613.4128,2940.0894,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.",overdue,Sunshine Gutridge,12/7/2022,Marlane Svanetti,5/8/2022,3/19/2022,11/8/2022,RUB,3.4375,reference number,963 Melvin Circle,Al Ḩāmūl,,,Egypt
W5*,2075,10/21/2022,Monroe Deshorts,demeline7m@networksolutions.com,2 David Avenue,Añatuya,,3760,Argentina,PayPal,12/2/2022,9972.17,0.07,698.0519,0.18,1794.9906,8875.2313,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",draft,Millard Ales0,2/11/2022,Dorthea Emeline,4/9/2022,3/27/2022,12/13/2022,ARS,2.0934,payment ID,95808 Toban Road,Houyu,,,China
j_*,2333,12/21/2022,Izak Episcopi,btanfield7n@last.fm,09 Bunting Lane,Panyambungan,,,Indonesia,credit card,11/21/2022,4043.59,0.19,768.2821,0.44,1779.1796,3032.6925,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",sent,Laverne Triner,7/30/2022,Brand Tanfield,6/17/2022,9/28/2022,5/31/2022,IDR,0.7028,reference number,77627 Buena Vista Trail,Sonsorol Village,,,Palau
x4*,4197,4/13/2022,Xenia Roantree,khertwell7o@spiegel.de,15560 Gateway Crossing,Siedlce,,33-321,Poland,PayPal,4/20/2022,9891.11,0.04,395.6444,0.22,2176.0442,8110.7102,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.

Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",draft,Philip Obee,8/7/2022,Karna Hertwell,8/26/2022,2/13/2022,1/10/2022,PLN,7.7747,payment ID,4530 Muir Junction,Bakersfield,CA,93305,United States
s1*,8843,6/22/2022,Tann Hardwich,awinney7p@uiuc.edu,2273 Hooker Circle,Kurumoch,,443544,Russia,credit card,7/14/2022,1579.79,0.03,47.3937,0.21,331.7559,1295.4278,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",overdue,Tori Heamus,3/28/2022,Alec Winney,8/24/2022,4/18/2022,6/30/2022,RUB,2.675,transaction ID,8 Golden Leaf Place,Muramatsu,,441-3603,Japan
pe*,3657,8/20/2022,Truman Munkton,patyea7q@bloomberg.com,08 Fieldstone Alley,Aliaga,,3111,Philippines,credit card,6/5/2022,7802.41,0.0,0.0,0.26,2028.6266,5773.7834,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",draft,Gusti Bachura,12/14/2022,Pippo Atyea,9/27/2022,3/4/2022,8/2/2022,PHP,9.1333,transaction ID,37328 Village Green Drive,Las Palmas,OAX,71984,Mexico
Fq*,4887,3/14/2022,Catherin McDavitt,tiorizzi7r@globo.com,4378 Gale Road,Stupino,,142806,Russia,credit card,7/13/2022,2854.27,0.17,485.2259,0.12,342.5124,2996.9835,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",sent,Mallissa Sapsford,10/4/2022,Tallie Iorizzi,12/15/2022,3/22/2022,10/23/2022,RUB,8.1045,reference number,109 Spenser Place,Pingtan,,,China
S6*,9914,9/12/2022,Jethro Cranefield,ebuckmaster7s@netlog.com,48 Eagle Crest Circle,Mohelno,,675 75,Czech Republic,credit card,9/16/2022,2880.86,0.02,57.6172,0.14,403.3204,2535.1568,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,sent,Elvis St. Hill,8/22/2022,Earl Buckmaster,2/24/2022,9/7/2022,2/26/2022,CZK,5.4235,transaction ID,1618 David Circle,Xiyang,,,China
XM*,6786,11/29/2022,Miltie Craigheid,jjolliffe7t@skype.com,74064 David Park,Diego de Almagro,,,Chile,credit card,8/12/2022,9872.95,0.07,691.1065,0.1,987.295,9576.7615,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",paid,Rustie Merrick,3/24/2022,Jdavie Jolliffe,7/2/2022,10/5/2022,9/4/2022,CLP,8.1758,transaction ID,843 Carey Alley,Feteira Grande,42,9630-305,Portugal
F0*,1435,9/25/2022,Timmy Saltern,ccolquitt7u@pinterest.com,64 Butternut Pass,Huambalpa,,,Peru,debit card,1/19/2022,159.87,0.17,27.1779,0.39,62.3493,124.6986,Sed ante. Vivamus tortor. Duis mattis egestas metus.,sent,Kristoforo Legging,7/25/2022,Chance Colquitt,11/13/2022,1/17/2022,10/11/2022,PEN,5.1108,reference number,04 Jackson Place,Svenljunga,O,512 93,Sweden
I_*,5724,7/24/2022,Minnnie Castagno,bcummungs7v@bigcartel.com,36 Golden Leaf Alley,Pengilon,,,Indonesia,PayPal,8/6/2022,8450.45,0.07,591.5315,0.15,1267.5675,7774.414,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.",draft,Cherry Pentecost,4/21/2022,Barb Cummungs,8/29/2022,8/12/2022,9/24/2022,IDR,1.5389,transaction ID,99 Fallview Avenue,Bahui,,,China
yO*,2707,7/26/2022,Adrian Cordy,kshearmur7w@virginia.edu,149 Loftsgordon Park,San Jose,CHP,26017,Mexico,credit card,12/20/2022,9608.04,0.05,480.402,0.15,1441.206,8647.236,In congue. Etiam justo. Etiam pretium iaculis justo.,sent,Conroy Latchmore,8/1/2022,Kala Shearmur,6/13/2022,4/13/2022,12/30/2022,MXN,9.2255,transaction ID,37 Pennsylvania Junction,Jeffersonville,IN,47134,United States
a8*,4686,6/5/2022,Odele Chattock,ddoneld7x@nps.gov,3789 Blaine Hill,Káto Miliá,,,Greece,debit card,7/17/2022,717.1,0.1,71.71,0.22,157.762,631.048,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",sent,Ruprecht Causey,3/30/2022,Duncan Doneld,4/16/2022,4/9/2022,1/3/2022,EUR,3.1454,transaction ID,357 John Wall Junction,Émponas,,,Greece
tP*,8600,6/3/2022,Carlos Morffew,oescott7y@slate.com,88 Blaine Junction,Shaxi,,,China,PayPal,8/30/2022,2168.56,0.12,260.2272,0.08,173.4848,2255.3024,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",overdue,Tabb Crocetti,4/25/2022,Ortensia Escott,2/13/2022,5/2/2022,9/18/2022,CNY,5.6241,payment ID,85 Hanover Point,Taipingzhuang,,,China
F_*,3031,8/26/2022,Darell Alexandre,ade7z@biglobe.ne.jp,27448 5th Terrace,Budapest,BU,1097,Hungary,debit card,1/12/2022,2202.86,0.01,22.0286,0.31,682.8866,1542.002,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.",sent,Sanders Preuvost,9/15/2022,Anitra De Caville,6/9/2022,8/29/2022,1/24/2022,HUF,9.4917,reference number,3 Ridgeview Parkway,Feng’an,,,China
Mk*,8567,11/28/2022,Silvan Thurbon,dextal80@reference.com,0365 Mayer Place,Maramag,,8714,Philippines,debit card,2/21/2022,5043.67,0.13,655.6771,0.27,1361.7909,4337.5562,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",sent,Clare Tunbridge,5/8/2022,Dre Extal,5/2/2022,5/3/2022,1/2/2022,PHP,0.9581,transaction ID,345 Hoard Plaza,Waturoka,,,Indonesia
Ax*,5759,9/9/2022,Beverley Klimas,gmillott81@trellian.com,345 Aberg Trail,Santa Ana,,,El Salvador,debit card,1/24/2022,169.74,0.05,8.487,0.44,74.6856,103.5414,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,draft,Fianna Gribbins,2/26/2022,Gustavo Millott,9/16/2022,12/30/2022,7/10/2022,USD,7.0332,transaction ID,562 Northfield Hill,Cigadog,,,Indonesia
pw*,1395,10/8/2022,Hymie Gillatt,rbinnall82@sbwire.com,7309 Grasskamp Terrace,Binuangan,,9008,Philippines,credit card,9/5/2022,4693.45,0.17,797.8865,0.35,1642.7075,3848.629,Phasellus in felis. Donec semper sapien a libero. Nam dui.,paid,Feliks Real,2/17/2022,Roxana Binnall,5/21/2022,6/8/2022,9/12/2022,PHP,0.1769,reference number,6775 Sachtjen Junction,As Sulayyil,,,Saudi Arabia
l_*,2025,5/1/2022,Garnette Pointon,afalla83@admin.ch,91427 Cherokee Street,Kafr Baţnā,,,Syria,PayPal,12/14/2022,4530.21,0.04,181.2084,0.13,588.9273,4122.4911,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",sent,Tania Asif,3/26/2022,Alexei Falla,1/23/2022,8/28/2022,12/17/2022,SYP,8.7001,reference number,6 Gulseth Hill,Guamo,,733558,Colombia
QV*,4818,4/25/2022,Harri Richmond,mmquharge84@archive.org,75 West Place,Puzi,,,China,credit card,5/22/2022,4297.74,0.06,257.8644,0.36,1547.1864,3008.418,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",paid,Renado Matiebe,6/24/2022,Mace M'Quharge,10/7/2022,7/26/2022,10/2/2022,CNY,4.761,transaction ID,63 Lien Circle,Tanashichō,,203-0044,Japan
j4*,9156,5/4/2022,Vincenz Tull,kchezelle85@washington.edu,788 Mcbride Junction,Huata,,,Peru,credit card,5/8/2022,519.78,0.13,67.5714,0.31,161.1318,426.2196,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",sent,Jules McConnell,9/21/2022,Kassandra Chezelle,1/6/2022,4/5/2022,12/13/2022,PEN,5.671,transaction ID,0 Rusk Park,Norberg,U,738 23,Sweden
b_*,6965,5/11/2022,Kippy Camili,vthunnercliffe86@free.fr,14731 American Plaza,Valejas,11,2730-077,Portugal,credit card,7/23/2022,8189.55,0.2,1637.91,0.41,3357.7155,6469.7445,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",overdue,Lillian Bambery,3/25/2022,Vidovik Thunnercliffe,3/18/2022,8/10/2022,9/12/2022,EUR,5.5409,payment ID,0473 Thierer Junction,Methóni,,,Greece
m6*,6612,5/29/2022,Loleta Dressel,mlightwing87@craigslist.org,3771 2nd Parkway,Zhengyangshan,,,China,PayPal,4/30/2022,8015.52,0.05,400.776,0.31,2484.8112,5931.4848,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",paid,Daniel Caberas,1/10/2022,Murry Lightwing,3/5/2022,9/10/2022,11/29/2022,CNY,5.8886,payment ID,832 Erie Lane,Pantaibesar,,,Indonesia
Ae*,6590,4/3/2022,Clarine Dixsee,fcalley88@nbcnews.com,76 1st Alley,Shkodër,,,Albania,debit card,8/26/2022,5661.6,0.09,509.544,0.35,1981.56,4189.584,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",overdue,Henrie Sygroves,1/13/2022,Faina Calley,6/28/2022,1/13/2022,4/14/2022,ALL,3.0769,transaction ID,79 Corscot Pass,Verkhovyna,,,Ukraine
